Gender,Age,Income,Employment_Type,Employment_Years,Education,Marital_Status,Dependents,Occupation,Residence_Type,Credit_History,Existing_Loans,Payment_History,Annual_Income,Loan_Amount,Loan_Purpose,Approved
Male,65,6498.0,Salaried,20.0,High School,Married,0,Clerk,Mortgaged,Good,1,No Delays,74348.0,21000.0,Car,1
Female,19,5203.0,Salaried,0.0,Graduate,Married,3,Engineer,Owned,Good,1,No Delays,67072.0,96000.0,Business,1
Female,23,8834.0,Salaried,0.0,Graduate,Single,1,Manager,Rented,Good,2,No Delays,104384.0,102000.0,Business,1
Female,45,6354.0,Self-Employed,24.0,High School,Widowed,1,Clerk,Rented,Good,0,No Delays,79729.0,25000.0,Car,1
Male,46,13314.0,Salaried,25.0,Post-Graduate,Single,1,Manager,Rented,Good,0,Occasional Delays,154831.0,59000.0,Education,1
Male,43,4666.0,Salaried,2.0,High School,Married,3,Clerk,Rented,Good,1,No Delays,54937.0,32000.0,Education,1
Male,42,10450.0,Self-Employed,15.0,Post-Graduate,Married,0,Business Owner,Rented,Bad,0,Frequent Delays,120729.0,207000.0,Home,0
Female,29,6511.0,Self-Employed,11.0,Graduate,Married,1,Engineer,Rented,Good,2,No Delays,77990.0,42000.0,Business,1
Female,22,7683.0,Self-Employed,1.0,Post-Graduate,Single,2,Manager,Rented,Good,0,Occasional Delays,89159.0,36000.0,Personal,1
Female,51,15373.0,Salaried,14.0,Graduate,Divorced,1,Manager,Rented,Good,0,No Delays,182564.0,620000.0,Home,1
Male,65,7367.0,Salaried,0.0,Post-Graduate,Single,0,Engineer,Owned,None,2,No Delays,83544.0,50000.0,Education,1
Female,54,15355.0,Salaried,8.0,Post-Graduate,Married,1,Manager,Mortgaged,Bad,0,Frequent Delays,183799.0,63000.0,Personal,0
Female,32,2319.0,Salaried,14.0,High School,Single,0,Others,Mortgaged,Good,1,No Delays,25301.0,8000.0,Personal,1
Male,61,4445.0,Retired,18.0,Post-Graduate,Single,1,Business Owner,Rented,None,0,No Delays,53934.0,72000.0,Business,1
Male,53,9745.0,Salaried,11.0,Graduate,Married,2,Engineer,Rented,Good,0,No Delays,115843.0,44000.0,Education,1
Male,32,10364.0,Salaried,0.0,Graduate,Married,0,Engineer,Rented,None,1,No Delays,124732.0,52000.0,Car,1
Male,60,13981.0,Self-Employed,0.0,Graduate,Single,2,Manager,Rented,Good,0,Occasional Delays,163221.0,88000.0,Education,1
Male,65,4478.0,Salaried,6.0,Graduate,Single,0,Clerk,Rented,Good,2,Occasional Delays,53182.0,78000.0,Business,1
Male,40,5668.0,Salaried,17.0,High School,Married,2,Sales,Owned,Good,1,Occasional Delays,67710.0,24000.0,Car,1
Male,23,6214.0,Self-Employed,3.0,Graduate,Married,1,Engineer,Rented,Good,0,Occasional Delays,74374.0,25000.0,Car,1
Female,63,3501.0,Retired,45.0,Graduate,Divorced,0,Engineer,Owned,Good,1,Occasional Delays,37881.0,105000.0,Home,1
Male,67,5093.0,Self-Employed,22.0,Graduate,Single,0,Clerk,Owned,Good,1,No Delays,62195.0,150000.0,Home,1
Male,61,11061.0,Salaried,14.0,Post-Graduate,Married,3,Engineer,Rented,Good,0,Occasional Delays,135039.0,44000.0,Personal,1
Male,60,16450.0,Salaried,25.0,Graduate,Single,0,Manager,Rented,Good,0,No Delays,196059.0,21000.0,Education,1
Male,62,6834.0,Self-Employed,29.0,Graduate,Single,0,Clerk,Rented,Good,0,No Delays,80610.0,15000.0,Personal,1
Female,38,3572.0,Salaried,12.0,High School,Married,0,Sales,Rented,None,1,No Delays,46448.0,16000.0,Car,1
Male,40,3622.0,Salaried,15.0,High School,Married,1,Others,Mortgaged,Bad,1,Frequent Delays,47497.0,149000.0,Home,0
Male,60,3965.0,Retired,21.0,High School,Single,1,Clerk,Rented,None,1,No Delays,45028.0,11000.0,Personal,1
Female,33,3552.0,Salaried,15.0,Graduate,Single,0,Sales,Rented,Bad,1,Frequent Delays,45216.0,115000.0,Home,0
Male,64,5515.0,Self-Employed,12.0,High School,Single,0,Sales,Owned,Good,1,No Delays,64133.0,61000.0,Business,1
Female,32,11471.0,Salaried,13.0,Post-Graduate,Married,0,Manager,Owned,Good,1,Occasional Delays,137783.0,21000.0,Car,1
Male,42,3873.0,Salaried,16.0,Graduate,Widowed,0,Clerk,Rented,Good,1,No Delays,42834.0,25000.0,Personal,1
Male,53,7450.0,Salaried,11.0,Graduate,Single,1,Engineer,Rented,Good,0,No Delays,93582.0,300000.0,Home,1
Female,28,10926.0,Self-Employed,7.0,Graduate,Single,2,Business Owner,Rented,Good,2,No Delays,135342.0,81000.0,Business,1
Female,68,6926.0,Salaried,23.0,High School,Divorced,0,Clerk,Rented,Bad,1,Occasional Delays,86331.0,40000.0,Personal,0
Female,32,3954.0,Salaried,3.0,Graduate,Divorced,0,Clerk,Rented,Good,1,No Delays,42835.0,12000.0,Education,1
Male,21,6566.0,Self-Employed,0.0,Graduate,Married,0,Engineer,Owned,None,1,No Delays,74624.0,134000.0,Business,1
Male,38,12003.0,Self-Employed,19.0,Graduate,Single,3,Business Owner,Owned,Good,0,No Delays,147477.0,37000.0,Car,1
Female,30,1171.0,Unemployed,0.0,Graduate,Single,3,Engineer,Mortgaged,Bad,1,Frequent Delays,18772.0,4000.0,Personal,0
Male,39,6880.0,Salaried,14.0,Post-Graduate,Married,2,Business Owner,Rented,Good,0,No Delays,81753.0,31000.0,Personal,1
Male,36,12612.0,Salaried,3.0,Post-Graduate,Married,0,Business Owner,Owned,Good,1,No Delays,148182.0,77000.0,Education,1
Male,51,2128.0,Unemployed,0.0,Graduate,Single,0,Engineer,Rented,None,0,No Delays,30088.0,6000.0,Personal,1
Male,31,3155.0,Self-Employed,5.0,Graduate,Married,0,Sales,Rented,Good,1,No Delays,42375.0,19000.0,Education,1
Female,21,12029.0,Salaried,1.0,Graduate,Single,0,Business Owner,Rented,Good,1,No Delays,140239.0,18000.0,Education,1
Male,65,4485.0,Salaried,27.0,High School,Married,1,Clerk,Owned,Good,1,No Delays,54408.0,182000.0,Home,1
Female,69,11154.0,Self-Employed,17.0,Graduate,Single,2,Engineer,Rented,Good,0,No Delays,130153.0,18000.0,Education,1
Male,63,6241.0,Salaried,1.0,High School,Single,2,Sales,Owned,Good,3,No Delays,75175.0,250000.0,Home,1
Male,44,7105.0,Self-Employed,24.0,Graduate,Married,2,Engineer,Mortgaged,Good,1,No Delays,84808.0,29000.0,Personal,1
Male,46,11341.0,Salaried,14.0,Graduate,Married,0,Manager,Rented,Good,1,No Delays,135284.0,44000.0,Personal,1
Male,64,6787.0,Salaried,29.0,High School,Widowed,1,Clerk,Rented,Good,0,Occasional Delays,82896.0,49000.0,Personal,1
Female,45,13302.0,Self-Employed,25.0,Post-Graduate,Married,0,Manager,Rented,Good,1,No Delays,163077.0,97000.0,Education,1
Female,52,6248.0,Salaried,18.0,Post-Graduate,Single,0,Engineer,Owned,Bad,0,Frequent Delays,72316.0,31000.0,Education,0
Female,25,7838.0,Salaried,6.0,Graduate,Married,2,Manager,Owned,Bad,1,Occasional Delays,90849.0,60000.0,Business,1
Female,33,4824.0,Salaried,9.0,Graduate,Single,0,Sales,Mortgaged,Good,0,No Delays,59282.0,21000.0,Personal,1
Female,59,8261.0,Salaried,19.0,Post-Graduate,Divorced,1,Engineer,Owned,Good,1,No Delays,94456.0,34000.0,Car,1
Female,53,4928.0,Self-Employed,9.0,High School,Married,0,Clerk,Owned,Good,1,No Delays,63313.0,23000.0,Education,1
Male,47,5602.0,Self-Employed,27.0,Graduate,Married,1,Clerk,Mortgaged,Bad,0,Occasional Delays,70072.0,27000.0,Personal,0
Male,35,3261.0,Self-Employed,10.0,High School,Single,2,Sales,Rented,Bad,0,Frequent Delays,42246.0,65000.0,Home,0
Male,19,11696.0,Salaried,1.0,Graduate,Married,0,Business Owner,Rented,None,2,No Delays,141996.0,65000.0,Personal,1
Male,66,5195.0,Salaried,9.0,High School,Married,2,Clerk,Owned,Good,0,Occasional Delays,62122.0,89000.0,Business,1
Male,30,9518.0,Salaried,12.0,Post-Graduate,Married,0,Manager,Rented,Good,1,Occasional Delays,119147.0,19000.0,Car,1
Male,21,1897.0,Retired,3.0,Post-Graduate,Single,1,Business Owner,Rented,Good,0,Occasional Delays,20901.0,8000.0,Car,1
Female,43,3339.0,Self-Employed,22.0,High School,Single,2,Others,Rented,Good,0,No Delays,38966.0,15000.0,Education,1
Male,42,5338.0,Self-Employed,4.0,Graduate,Married,1,Sales,Owned,Good,0,No Delays,59891.0,26000.0,Personal,1
Male,47,7931.0,Salaried,8.0,Post-Graduate,Divorced,3,Engineer,Rented,Good,1,No Delays,94326.0,13000.0,Personal,1
Male,28,8007.0,Salaried,3.0,Graduate,Single,0,Manager,Rented,Bad,0,Occasional Delays,93862.0,39000.0,Personal,0
Male,24,7879.0,Salaried,2.0,Post-Graduate,Married,1,Engineer,Rented,Good,2,No Delays,99136.0,204000.0,Home,1
Female,48,6305.0,Salaried,12.0,Graduate,Single,1,Engineer,Rented,Bad,1,Frequent Delays,77069.0,89000.0,Business,0
Male,61,12455.0,Salaried,17.0,Graduate,Divorced,3,Manager,Owned,Good,0,No Delays,154328.0,75000.0,Car,1
Female,27,3649.0,Retired,9.0,High School,Single,0,Others,Owned,None,1,No Delays,43101.0,20000.0,Education,1
Female,56,5776.0,Salaried,16.0,High School,Single,2,Clerk,Rented,None,0,No Delays,69958.0,11000.0,Education,1
Male,30,10442.0,Salaried,10.0,Graduate,Married,1,Engineer,Rented,None,1,No Delays,127912.0,343000.0,Home,1
Male,48,9344.0,Salaried,5.0,Graduate,Single,0,Business Owner,Mortgaged,Bad,0,Frequent Delays,110849.0,65000.0,Personal,0
Female,24,1914.0,Retired,6.0,Graduate,Married,1,Manager,Rented,Bad,0,Occasional Delays,25879.0,5000.0,Education,0
Female,66,16027.0,Salaried,9.0,Graduate,Married,0,Business Owner,Rented,Good,1,No Delays,188995.0,99000.0,Car,1
Female,59,9016.0,Self-Employed,1.0,Graduate,Single,1,Business Owner,Mortgaged,Good,3,No Delays,104108.0,47000.0,Personal,1
Female,59,3487.0,Retired,38.0,Post-Graduate,Married,2,Engineer,Owned,Good,0,No Delays,42432.0,21000.0,Personal,1
